table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",incident_date_and_time,10,timestamp without time zone,,NO,,"When the incident happened, as reported. Distinct from reported_at, which is when someone wrote it up - the gap between the two is often days.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",reported_at,11,timestamp without time zone,,NO,,"When the incident was reported. For reports synchronised from NOMIS this is the original NOMIS value, not the sync.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",reported_by,12,character varying,120,NO,,Username of the member of staff who reported the incident. Identifies a member of staff.,STAFF,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",question_set_id,14,character varying,20,YES,,"Legacy NOMIS question set identifier, carried over in the original schema and never used since - no Kotlin code reads or writes it, and it is not exposed by the API. Treat as dead.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",created_at,15,timestamp without time zone,,NO,,"When the row was created in this service. For reports synchronised from NOMIS this is the sync, not the incident or the original report - use incident_date_and_time or reported_at for those.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",modified_by,16,character varying,120,NO,,"Username of the member of staff who last changed the report, or the system user for changes made by the NOMIS sync. Identifies a member of staff.",STAFF,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",modified_at,17,timestamp without time zone,,NO,CURRENT_TIMESTAMP,When the report was last changed.,NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",modified_in,18,character varying,5,NO,'DPS'::character varying,"Which system made the last change: DPS or NOMIS. A report can be created in one and edited in the other, so this is not the same as source.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",staff_involvement_done,19,boolean,,YES,true,"Whether the reporter has finished recording staff involvement. Distinguishes ""no staff were involved"" from ""not yet filled in"", which an empty staff_involvement cannot do on its own.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",prisoner_involvement_done,20,boolean,,YES,true,"Whether the reporter has finished recording prisoner involvement. Distinguishes ""no prisoners were involved"" from ""not yet filled in"", which an empty prisoner_involvement cannot do on its own.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",duplicated_report_id,21,uuid,,YES,,"The report this one duplicates, set when it is marked DUPLICATE. Points at report.id, not report_reference. Null on every report that is not a duplicate.",NONE,N,report
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",last_user_action,22,character varying,60,YES,,"The most recent action taken on the report through a correction request, denormalised here so a list of reports can show it without joining. Mirrors the newest correction_request.user_action and is null until the first one.",NONE,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",id,1,integer,,NO,nextval('response_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",question_id,2,integer,,NO,,The question this answers. Foreign key to question.id.,NONE,N,question
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",sequence,3,integer,,NO,0,Order of this answer within the question's answers.,NONE,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",response,4,text,,NO,,"The answer as worded when the report was written. Records what actually happened in the incident - injuries, weapons, methods, whether the police attended - about the people named on the report.",SPECIAL-CATEGORY,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",response_date,5,date,,YES,,"Date given as the answer, where the question asks for one - for example when a death occurred or when treatment was given. Null on answers that are not dates.",SPECIAL-CATEGORY,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",additional_information,6,text,,YES,,"Free text the reporter added against this answer. Written by hand, so assume it carries health, offending and third-party detail.",SPECIAL-CATEGORY,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",recorded_at,7,timestamp without time zone,,NO,CURRENT_TIMESTAMP,When the answer was recorded.,NONE,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",recorded_by,8,character varying,120,NO,,Username of the member of staff who recorded the answer. Identifies a member of staff.,STAFF,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",code,9,character varying,60,NO,,"Stable code for the answer within the question's option set. The join key for analysing answers across reports, and the key analytical_marker uses to flag answers that indicate serious harm. Discloses what was answered, so it is as sensitive as the wording.",SPECIAL-CATEGORY,N,
response,"One answer given to a question. A question can have several responses where more than one option applies, which is why this is a table rather than a column on question. The answer is what makes this schema sensitive: responses record injuries, weapons, methods of self-harm, whether police were involved and what was found.",label,10,text,,NO,,"Display label for the answer, as worded when the report was written. Discloses what was answered - see response.response.",SPECIAL-CATEGORY,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",id,1,integer,,NO,nextval('staff_involvement_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",report_id,2,uuid,,NO,,The report this involvement belongs to. Foreign key to report.id.,NONE,N,report
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",staff_username,3,character varying,120,YES,,"DPS username of the member of staff. Nullable since V1_15: staff can be named on a report without having a DPS account, in which case only the names are recorded. Identifies a member of staff.",STAFF,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",staff_role,4,character varying,60,NO,,"How the member of staff was involved, for example WITNESS, FIRST_ON_SCENE, ACTIVELY_INVOLVED or SUSPECTED_INVOLVEMENT. Note that SUSPECTED_INVOLVEMENT is an allegation against a named member of staff and is sensitive well beyond an ordinary audit field - tagged STAFF rather than SPECIAL-CATEGORY so staff data stays separable, but handle it accordingly. Values are in constant_staff_role.",STAFF,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",comment,5,text,,YES,,"Free-text note on this member of staff's involvement. Unstructured and written by hand - describes what they did or what happened to them, and routinely names prisoners and describes injuries, so treat as special category.",SPECIAL-CATEGORY,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",sequence,6,integer,,NO,0,Order of this member of staff within the report's list. Display order only.,NONE,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",first_name,7,character varying,255,NO,,"Member of staff's first name as at the time the report was written. A snapshot, not kept in step afterwards.",STAFF,N,
staff_involvement,"One member of staff named on a report, with how they were involved. Names are copied in at the time of writing rather than resolved live. Staff can be named as witnesses, as first on scene, as injured, or as suspected of involvement themselves - so this table is not only an audit of who did the paperwork.",last_name,8,character varying,255,NO,,"Member of staff's last name as at the time the report was written. A snapshot, not kept in step afterwards.",STAFF,N,
status_history,"Every status the report has held, in order, with who changed it and when. Append-only: the current status is on report.status and this is how it got there. Note that a report can be reopened, so a status can appear more than once for the same report.",id,1,integer,,NO,nextval('status_history_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
status_history,"Every status the report has held, in order, with who changed it and when. Append-only: the current status is on report.status and this is how it got there. Note that a report can be reopened, so a status can appear more than once for the same report.",report_id,2,uuid,,NO,,The report whose status changed. Foreign key to report.id.,NONE,N,report
status_history,"Every status the report has held, in order, with who changed it and when. Append-only: the current status is on report.status and this is how it got there. Note that a report can be reopened, so a status can appear more than once for the same report.",status,3,character varying,60,NO,,The status the report moved into. Values and their meanings are in constant_status.,NONE,N,
status_history,"Every status the report has held, in order, with who changed it and when. Append-only: the current status is on report.status and this is how it got there. Note that a report can be reopened, so a status can appear more than once for the same report.",changed_at,4,timestamp without time zone,,NO,CURRENT_TIMESTAMP,When the status changed.,NONE,N,
status_history,"Every status the report has held, in order, with who changed it and when. Append-only: the current status is on report.status and this is how it got there. Note that a report can be reopened, so a status can appear more than once for the same report.",changed_by,5,character varying,120,NO,,"Username of the member of staff who changed it, or the system user for automatic transitions. Identifies a member of staff.",STAFF,N,
